5591,3.4,100,1500
5792,4.1,89,1200
4405,3.8,100,800
3941,4.0,77,1600
3393,3.0,68,1500
3384,3.7,103,2000
1188,3.9,79,2000
912,3.3,125,2000
1212,3.8,141,1200
1211,3.7,142,1200
2664,3.7,48,1600
2742,3.6,56,5000
4484,3.6,44,1000
4354,3.4,35,2800
1899,4.0,72,3000
4741,3.4,67,1800
2760,3.7,143,1800
4752,3.7,27,1800
3077,3.4,116,900
2788,3.9,95,2000
3258,3.7,28,2000
4907,4.1,42,2000
2750,3.9,56,2000
490,4.0,96,850
4283,3.7,41,2000
2757,3.6,36,1600
4275,3.7,101,1600
1800,3.0,53,1200
4412,3.5,55,800
4899,3.6,58,1200
1793,3.3,60,2500
5229,4.0,26,450
2756,3.2,48,1600
2676,4.1,38,2000
4398,3.3,44,1500
3949,3.8,33,4000
1127,3.5,46,1400
2800,3.7,29,2500
3929,3.7,46,3500
6010,3.6,58,3000
3305,3.3,58,1000
4485,4.1,47,1600
4571,3.5,37,2000
3572,2.9,37,1100
3250,3.7,64,2000
6614,3.8,60,2000
55,3.4,54,600
4959,3.8,72,1800
2769,4.1,25,2000
4118,4.0,46,2500
1642,3.8,67,2500
4137,3.5,33,1800
1798,3.5,50,1200
1797,3.6,28,1400
2779,3.3,33,1300
2225,4.0,53,1200
549,3.2,53,500
3429,3.6,48,3000
398,3.8,36,250
2005,3.3,44,1400
2428,3.8,35,1200
857,3.3,55,600
1614,3.8,79,1500
2458,3.5,32,250
374,3.8,60,750
6642,3.2,27,2500
384,3.7,46,500
3308,3.6,27,1500
929,3.4,32,1000
4228,3.5,91,700
5963,3.8,35,1200
91,2.5,30,1000
4648,2.9,16,1500
2504,3.3,33,500
1493,3.6,46,350
3409,3.6,29,1500
4297,4.0,42,2000
2654,3.2,37,1500
3856,4.0,48,850
3912,3.5,38,2500
5585,3.8,93,1000
3188,3.7,33,1500
4341,3.8,22,1500
834,3.6,30,600
5230,3.9,43,1400
5475,3.5,33,1400
5709,3.5,22,3000
165,3.0,46,1200
3407,3.6,36,1600
2907,3.3,52,2500
3913,3.5,30,3500
1799,3.8,31,1500
3259,3.9,21,2000
2763,3.9,33,2000
2425,3.8,30,1200
3026,3.4,57,2000
4339,3.9,32,1900
841,3.3,31,2000
4255,3.6,37,1500
1702,3.2,37,500
4751,3.4,51,1800
3266,3.3,47,2000
4815,3.1,28,1500
2302,3.3,36,200
3543,3.8,22,1800
3397,3.5,43,800
421,3.5,29,1200
2639,4.1,19,1400
5841,3.0,18,1200
3928,2.8,35,1200
1819,3.7,39,1000
2583,3.2,23,1200
6611,4.2,57,300
1843,3.2,43,500
4260,3.2,28,500
5710,3.2,30,1800
2755,3.9,17,2500
844,3.8,50,250
463,3.8,66,700
4133,3.1,39,800
1064,3.2,27,1500
553,3.4,30,200
89,3.8,47,400
467,3.6,38,700
2787,3.4,32,1400
2199,3.7,28,2000
2798,3.6,24,1100
3782,3.7,28,1500
3747,3.6,61,500
2700,3.7,29,3500
2744,3.4,30,2500
3732,3.8,13,1000
2775,3.7,43,1500
4400,3.9,45,200
830,2.9,36,600
4821,3.8,25,1200
4478,3.7,50,350
2852,3.3,37,500
3940,3.3,30,1200
1496,3.0,22,800
799,3.7,41,1000
2144,3.8,44,2000
446,3.2,26,1200
4156,3.3,56,400
1892,3.3,27,1200
